Average Effective Clock,CPU Overall Power Consumption,GPU Power,GPU Effective Clock,FPS
2884.4,124.402,341.548,1916.9,154
2890.4,124.905,341.23,1917.5,151
2864.7,124.831,340.058,1920.3,142
2763.6,123.039,345.727,1917.9,145
2776.8,123.325,345.454,1918.1,145
2782.4,123.274,344.57,1918.3,144
2755.7,122.586,345.082,1918.1,144
2757.7,122.888,345.917,1918.0,145
2757.7,122.416,341.104,1918.1,152
2726.4,121.025,342.891,1912.2,153
2706.1,120.885,345.354,1916.4,142
2674.6,120.596,345.72,1917.7,142
2722.7,122.272,340.527,1905.1,143
2725.3,121.876,341.683,1904.4,149
2677.9,120.361,340.268,1903.4,153
2669.4,120.326,341.298,1904.9,146
2885.6,126.176,346.218,1917.9,144
2960.3,129.049,340.218,1924.1,144
3012.6,129.042,343.674,1917.9,146
3006.0,128.622,339.992,1917.8,146
2796.2,123.455,337.515,1918.1,155
2843.9,124.447,342.72,1917.7,151
2890.2,126.127,343.817,1917.5,151
2876.6,125.231,344.843,1917.4,151
3049.7,130.176,341.932,1905.8,148
2921.3,127.161,338.469,1917.7,152
2760.1,122.663,335.212,1916.9,168
2752.3,121.55,340.834,1917.1,171
2741.8,121.854,337.193,1917.0,175
2695.3,120.737,336.661,1916.6,172
2796.4,123.285,341.252,1913.4,157
2767.2,122.902,337.675,1907.7,158
2750.2,121.832,339.187,1909.8,161
2991.4,129.046,342.997,1930.9,145
2861.3,125.925,340.604,1902.7,145
2891.8,128.102,342.135,1910.9,146
2878.7,128.482,341.411,1913.9,140
2840.3,126.48,341.336,1917.8,142
3133.1,133.094,335.357,1922.2,190
2866.8,125.367,344.251,1880.5,138
2714.7,123.103,342.322,1881.2,143
2662.6,119.983,338.911,1901.2,154
2756.1,121.003,346.846,1905.0,166
2838.4,123.554,341.443,1896.2,170
2792.2,121.921,342.819,1905.0,182
2765.7,122.025,342.664,1891.9,155
2614.2,118.977,340.431,1908.0,154
2729.5,122.502,342.765,1912.7,169
2823.7,122.896,340.911,1898.6,160
2778.6,123.606,338.316,1920.5,150
2755.3,122.928,342.89,1900.6,139
2786.2,124.121,344.415,1901.5,147
2640.1,119.887,340.423,1917.3,147
2715.0,121.956,345.611,1905.2,148
2667.4,121.059,344.933,1924.2,149
2669.2,121.028,345.618,1902.0,148
2664.9,120.993,340.419,1902.1,137
2563.3,118.85,340.545,1901.9,138
2600.9,120.222,338.834,1904.9,138
2596.6,120.234,342.68,1916.6,137
2551.5,119.291,343.468,1909.5,141
2585.7,120.406,338.622,1916.5,139
2568.5,120.37,335.201,1919.4,139
2546.3,119.446,339.77,1917.3,139
2605.4,120.944,340.388,1916.7,140
2522.3,118.986,342.074,1917.5,135
2490.3,118.204,341.822,1917.4,135
2483.7,118.414,341.149,1917.4,134
2613.8,121.125,338.815,1916.7,139
2539.1,119.729,343.193,1917.4,139
2544.9,119.472,343.672,1917.4,139
2809.2,126.237,334.349,1919.7,131
2942.5,130.712,343.049,1917.8,136
2936.1,128.453,341.61,1911.1,143
2828.5,124.874,338.708,1901.9,155
2789.3,123.481,339.349,1901.9,158
2782.0,124.379,338.465,1903.6,141
2988.7,130.675,341.829,1905.1,142
2887.0,127.233,340.254,1910.8,146
2777.1,123.902,343.341,1909.3,150
2683.3,121.805,344.386,1908.9,148
2793.3,124.514,342.265,1918.0,144
2782.0,123.537,340.903,1917.9,152
2924.8,128.37,338.444,1918.3,140
2783.0,123.338,341.284,1917.9,146
2900.2,125.611,342.561,1918.1,148
2861.7,124.811,344.119,1917.9,152
3085.2,132.364,341.389,1917.5,154
2889.2,126.07,340.332,1913.0,152
2793.6,124.193,339.313,1913.4,136
3409.4,138.726,315.486,1932.7,115
3229.4,138.17,332.811,1927.4,126
2956.2,129.394,334.223,1919.9,134
2912.3,128.105,337.465,1918.7,131
2911.6,127.79,340.395,1925.4,135
3010.8,129.56,334.496,1923.6,151
2883.3,126.005,333.221,1923.1,140
2824.3,124.837,338.551,1917.3,136
2794.0,123.941,338.889,1918.1,138
2801.1,124.581,336.948,1921.7,154
2749.8,123.395,335.233,1918.7,156
2745.6,123.708,335.742,1916.9,154
2886.9,125.842,344.318,1912.3,155
2874.5,126.047,345.252,1917.5,155
2864.3,125.728,346.889,1917.3,156
2781.5,123.522,337.234,1917.0,148
2771.7,124.083,340.004,1917.3,148
2775.6,124.07,336.73,1916.8,149
2783.8,124.401,336.081,1921.2,147
2756.6,124.162,341.095,1913.5,143
2791.3,125.203,340.286,1905.9,141
2806.3,125.255,341.817,1912.2,141
2847.2,126.166,346.13,1917.0,140
2874.3,126.703,333.679,1922.0,130
2909.3,128.039,339.827,1917.6,135
3109.6,134.092,333.879,1918.1,124
2976.4,128.834,334.988,1918.0,146
2920.2,126.961,335.305,1919.7,151
2877.6,126.233,343.691,1934.6,141
2820.5,126.062,341.441,1934.8,131
2841.0,126.602,343.514,1934.7,135
2840.6,126.639,343.012,1935.0,130
2845.1,126.816,342.882,1934.8,131
2849.3,126.873,334.102,1929.1,134
2859.5,127.042,333.204,1919.9,134
2936.6,129.254,334.192,1917.3,134
2908.9,127.977,335.893,1926.1,132
2876.1,127.27,338.829,1934.6,129
2854.0,125.398,334.297,1918.2,146
2884.3,127.072,334.461,1918.7,135
2889.7,128.005,332.589,1918.7,128
2895.5,127.869,340.791,1918.0,136
2875.7,127.674,342.203,1912.1,129
2900.0,128.726,340.789,1917.8,124
2926.7,129.163,336.068,1918.8,125
2898.2,128.682,338.912,1917.9,123
2928.7,128.946,336.163,1918.3,127
2878.5,127.716,336.184,1919.4,124
2867.3,127.391,334.573,1918.0,125
2889.0,128.27,333.996,1918.0,128
2886.5,128.203,340.003,1919.4,135
2889.7,127.321,335.717,1919.7,138
2856.9,126.081,339.674,1916.1,138
2896.8,126.81,345.117,1917.3,145
2906.9,127.675,342.993,1916.9,138
2905.1,127.772,342.3,1914.6,139
2907.1,127.694,342.618,1916.4,142
2831.1,125.551,336.29,1917.6,134
2831.5,125.31,338.596,1918.5,135
2911.3,128.367,338.396,1917.6,125
2992.5,131.066,338.898,1917.5,124
2874.3,127.76,337.359,1917.6,133
2875.3,127.522,338.461,1917.7,133
2854.6,127.148,339.91,1917.7,130
2930.0,129.453,338.617,1917.7,127
2959.5,128.508,340.704,1905.7,153
2908.1,128.608,343.264,1917.2,133
2866.7,127.613,343.243,1917.1,132
2838.4,127.076,344.439,1916.8,130
2948.0,129.658,335.479,1917.1,114
2967.2,130.258,333.866,1917.4,123
3014.8,132.348,337.005,1917.8,118
2849.2,127.611,335.329,1918.5,130
2895.1,128.725,342.222,1914.1,132
2897.9,128.314,346.779,1916.7,130
2949.7,130.329,343.875,1917.6,120
2890.3,128.029,342.261,1906.9,145
2899.3,128.373,344.987,1916.8,120
2857.4,129.33,338.64,1918.2,117
